target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,period,attained,max_lift
L2:P2TR,frozen (transferred),116926,0.2541420198748082,0.6226212976371881,2.4498473643859153,3.7929364671805987,2.585321605148488,2.585321605148488,0.6570499821984237,3.0,0.23286354665499007,2.407249401020583,2.489990164710098,3.7069983182932846,3.868682980323423,2.5449301423006743,2.6276834935772997,2.5449301423006743,2.6276834935772997,,,,,,,,,,,,,,,,,,future,0.6226212976371881,3.934807791693029
L2:P2TR,constrained refit,116926,0.25414201987480806,0.7289926702395826,2.868494450099247,3.6834290026563057,3.6807249654034155,3.1626845415040705,0.9354183566714556,2.5,0.09033266515933075,2.8145794138460296,2.9173206852977183,3.5937059449172444,3.7676263012212767,3.5988271739902657,3.766161473122552,3.0487403507909745,3.218918762226019,0.41864708571333153,0.3906814590565896,0.442531262126809,0.001998001998001998,-0.10950746452429305,-0.16197867773146285,-0.053853766976741456,0.001998001998001998,1.0954033602549273,1.040010845089514,1.156284534923705,0.001998001998001998,0.5773629363555823,0.487334798844765,0.6033124971407745,0.001998001998001998,0.017982017982017984,future,0.7289926702395826,3.9348077916930313
L2:mixed,frozen (transferred),6935,0.01326996454273581,0.10452946369637744,7.878334234037894,10.454252349296274,9.420902302836701,8.418862906481067,0.12501157853914746,5.5,0.04473926189860905,7.310288077602532,8.203008763498337,9.089299118710224,13.51643044578958,8.819303520508992,10.272304905838649,8.123575432405936,9.220791835829964,,,,,,,,,,,,,,,,,,future,0.10452946369637744,75.35815161973557
L2:mixed,constrained refit,6935,0.0132699645427358,0.10978005371058469,8.272653516862503,11.084809335881294,9.162576282796131,8.909697523867123,0.12160230802322106,5.5,0.0370740436450753,7.819325629046488,8.727220190948444,9.106548782141182,13.498640700466078,8.657003841486095,10.45380420844509,8.433397809544608,9.215404887054515,0.3943192828246094,0.17560934939309333,0.8748633511969597,0.007992007992007992,0.6305569865850202,-1.7692241731418767,2.608596638043828,0.5594405594405595,-0.25832602004057037,-0.9252650383330029,1.133272278479313,0.7652347652347652,0.4908346173860565,-0.31286427349964296,0.731345219669568,0.27172827172827174,0.017982017982017984,future,0.10978005371058469,75.35815161973562
L3:runes,frozen (transferred),137087,0.3919723086617889,0.5301598217205679,1.3525617195697026,1.3946868770991523,1.3946868770991523,1.3946868770991523,0.5466697324159708,1.0,0.4496742942291835,1.3376922695269655,1.3658614473666646,1.3776795598842817,1.411094488896061,1.3776795598842817,1.411094488896061,1.3776795598842817,1.411094488896061,,,,,,,,,,,,,,,,,,future,0.5301598217205679,2.5512006279577375
L3:runes,constrained refit,137087,0.39197230866178884,0.9149822342715498,2.3343635612745923,2.5321861080617136,2.5321861080617136,2.5259607558421244,0.9925220235693,1.0,0.19196615496944314,2.296950712840879,2.374061509275278,2.487543364198531,2.5816339572550757,2.4876106756725234,2.5816339572550757,2.4831582325370176,2.5757270917206183,0.9818018417048897,0.9497690168709585,1.0202991911975678,0.001998001998001998,1.1374992309625613,1.0971767407238828,1.1841176284381174,0.001998001998001998,1.1374992309625613,1.097635071063939,1.1841176284381174,0.001998001998001998,1.1312738787429721,1.0940353500515911,1.1784613602671006,0.001998001998001998,0.017982017982017984,future,0.9149822342715498,2.551200627957738
L3:other_opreturn,frozen (transferred),9245,0.01761385483912993,0.05882290977767547,3.340957152017552,8.697564059309014,2.6880884385499133,2.6880884385499133,0.04733856787040866,4.0,0.22346543912413075,2.9575869800824197,3.8048024555838236,7.109068209305966,9.859292952039192,2.5490820120527276,5.270578439093381,2.5209865395739675,2.851373189818846,,,,,,,,,,,,,,,,,,future,0.05882290977767547,56.77348934308561
L3:other_opreturn,constrained refit,9245,0.017613854839129917,0.17083840003270073,9.70191604794932,15.286531909347454,15.286531909347454,10.264744812809482,0.26921372801486787,1.0,0.024069748532122525,8.684291276210299,10.60041475199653,14.180456797176689,16.412044178352534,14.180456797176689,16.412044178352534,9.289305628748217,12.473268297502251,6.360958895931768,5.488314176129688,7.155712203220718,0.001998001998001998,6.58896785003844,5.063848840631212,8.41615010193177,0.001998001998001998,12.598443470797541,9.962950648843375,13.522576861284081,0.001998001998001998,7.576656374259569,6.675143600276197,9.717303344544838,0.001998001998001998,0.017982017982017984,future,0.17083840003270073,56.77348934308566
L4:exchange,frozen (transferred),1936,0.0033220608372278426,0.0983353441463997,29.60115528846692,44.389716024863034,44.389716024863034,34.1497751499758,0.1474623990719533,1.0,0.006899329699038314,25.163331551988712,33.18918163524118,37.063638277448256,49.582179649464194,36.43645673405754,49.582179649464194,25.320787180242508,38.20054244117112,,,,,,,,,,,,,,,,,,future,0.0983353441463997,301.0179671587439
L4:exchange,constrained refit,1936,0.003322060837227841,0.06647839619265271,20.01116408801721,31.253449733710873,25.562828263539423,25.351649581660865,0.08492039400691928,2.5,0.013969618396042563,16.366987149062982,22.74695180794695,19.812387631420542,36.808062180646424,21.320867941411393,34.08140853577696,19.714834902055248,27.913130619277027,-9.58999120044971,-13.188462403323143,-6.481521558394496,0.001998001998001998,-13.136266291152161,-25.627614408693976,-5.84388196550294,0.017982017982017984,-18.82688776132361,-24.7109409440538,-7.905600068799908,0.001998001998001998,-8.798125568314937,-11.615990838632115,-0.9057497836686123,0.00999000999000999,0.017982017982017984,future,0.06647839619265271,301.01796715874406
