kind,replicate,method,k,fit_seconds,max_share,ari,ami,vi_bits,centroid_shift,mi_rank_tau
bootstrap,8,ZSH,31,26.591891288757324,0.092842,0.7649267432348161,0.8597566696658585,1.2588189437766517,0.26490084761627675,0.909090909090909
bootstrap,8,KMeans++ K*,31,32.67400360107422,0.095243,0.7938367354261782,0.8950606170551659,0.9426397145108872,0.28665052756896287,
bootstrap,8,RPW K* (no refinement),31,26.288328886032104,0.13186,0.8664252306257348,0.8924674564379897,0.9408392739546372,0.32484137709122046,0.909090909090909
bootstrap,9,ZSH,32,28.25423812866211,0.089936,0.905880809651935,0.9078525368329192,0.8302255330952326,0.19658725931736262,0.909090909090909
bootstrap,9,KMeans++ K*,31,31.637674808502197,0.092079,0.7452079930632793,0.861005238080574,1.2440871589960185,0.36878520329799847,
bootstrap,9,RPW K* (no refinement),31,27.897212982177734,0.133073,0.8809510025401178,0.8917355923719229,0.947697339790708,0.2185601126100443,0.909090909090909
bootstrap,10,ZSH,31,27.41273856163025,0.092275,0.7517537510195598,0.8493190371729996,1.349428981085233,0.4108176082131654,0.909090909090909
bootstrap,10,KMeans++ K*,31,31.105480909347534,0.096258,0.7263907349097017,0.839857108654787,1.4381908296879269,0.5561697230682731,
bootstrap,10,RPW K* (no refinement),31,27.39473605155945,0.126194,0.8350084023108839,0.8773304309024204,1.073900685367781,0.24009360416042172,0.909090909090909
bootstrap,11,ZSH,31,27.049277544021606,0.095763,0.7956582088434936,0.8732321378032929,1.1326654512665288,0.4295380006229297,0.909090909090909
bootstrap,11,KMeans++ K*,31,32.90672039985657,0.095827,0.6877296357727862,0.8206673606886041,1.6057873877225337,0.25038402054882597,
bootstrap,11,RPW K* (no refinement),31,26.47276210784912,0.135477,0.8985335279865212,0.9091801861153646,0.7913936763817077,0.27279928643439977,0.909090909090909
bootstrap,12,ZSH,31,27.794847011566162,0.084993,0.9120737038731161,0.9305203810333759,0.6292923041290089,0.14138525285677303,0.9999999999999998
bootstrap,12,KMeans++ K*,31,31.67352867126465,0.094589,0.7950329252602718,0.8542050425657971,1.296339594250493,0.22660184823456278,
bootstrap,12,RPW K* (no refinement),31,27.353139638900757,0.10446,0.838817301319991,0.9078564805584307,0.8188728847409232,0.2851419963438968,0.9999999999999998
bootstrap,13,ZSH,31,27.172646284103394,0.090748,0.7951874911811604,0.8646490954006064,1.2107423662265366,0.44330131377246607,0.8787878787878787
bootstrap,13,KMeans++ K*,31,31.5244300365448,0.095338,0.6703167615764593,0.8036424798905342,1.7636262033103451,0.5485084683125562,
bootstrap,13,RPW K* (no refinement),31,26.741087198257446,0.10121,0.7135223586419017,0.8433900584672103,1.3762564479267556,0.2879209500128668,0.8787878787878787
bootstrap,14,ZSH,32,26.72908306121826,0.091273,0.8917328610679633,0.9074579309691907,0.8360722341153137,0.15840764314269828,0.8787878787878787
bootstrap,14,KMeans++ K*,31,31.638481378555298,0.098178,0.7271008252730062,0.8353767176468184,1.4680212747633885,0.31821432158304636,
bootstrap,14,RPW K* (no refinement),31,26.40792751312256,0.137445,0.8648824238165642,0.8930730584038972,0.9331692216267363,0.3291094676116152,0.8787878787878787
bootstrap,15,ZSH,31,28.515007257461548,0.087139,0.7719598409190935,0.8659112458060924,1.2029913902377114,0.3116547408295741,0.9999999999999998
bootstrap,15,KMeans++ K*,31,32.10334300994873,0.091906,0.6932191586451965,0.8288563117766092,1.5344968088438986,0.47297144940430985,
bootstrap,15,RPW K* (no refinement),31,28.04536747932434,0.122287,0.787529347914505,0.8728292873336444,1.1185438306219704,0.21286463216431142,0.9999999999999998
bootstrap,16,ZSH,31,27.77654504776001,0.090414,0.884173747886381,0.9033099209456033,0.8725008802252919,0.31287665437541134,0.9393939393939392
