kind,replicate,method,cluster,jaccard
seed,5,ZSH,14,0.9399477806788512
seed,5,ZSH,15,0.2744643891140706
seed,5,ZSH,16,0.8336971621353443
seed,5,ZSH,17,0.31467240848969547
seed,5,ZSH,18,0.42451612903225805
seed,5,ZSH,19,0.24623115577889448
seed,5,ZSH,20,0.5178571428571429
seed,5,ZSH,21,0.6072392086330936
seed,5,ZSH,22,0.3593591047812818
seed,5,ZSH,23,0.7794421487603306
seed,5,ZSH,24,0.722168905950096
seed,5,ZSH,25,0.22868052609249045
seed,5,ZSH,26,0.5759416767922235
seed,5,ZSH,27,0.4405043341213554
seed,5,ZSH,28,0.20299022426682
seed,5,ZSH,29,0.8609022556390977
seed,5,ZSH,30,0.7460732984293194
seed,5,KMeans++ K*,0,0.9538584726253628
seed,5,KMeans++ K*,1,0.783559486309668
seed,5,KMeans++ K*,2,0.4423112884123917
seed,5,KMeans++ K*,3,0.8022526558300269
seed,5,KMeans++ K*,4,0.9699146834306241
seed,5,KMeans++ K*,5,0.7678640701373264
seed,5,KMeans++ K*,6,0.629614926558158
seed,5,KMeans++ K*,7,0.806275819636108
seed,5,KMeans++ K*,8,0.879476514152379
seed,5,KMeans++ K*,9,0.934249916842222
seed,5,KMeans++ K*,10,0.6636873830804406
seed,5,KMeans++ K*,11,0.7724630021141649
seed,5,KMeans++ K*,12,0.5179913009094503
seed,5,KMeans++ K*,13,0.2316084788029925
seed,5,KMeans++ K*,14,0.9153104755885606
seed,5,KMeans++ K*,15,0.8010858835143139
seed,5,KMeans++ K*,16,0.6128719723183391
seed,5,KMeans++ K*,17,0.9004159530217763
seed,5,KMeans++ K*,18,0.6490539093181007
seed,5,KMeans++ K*,19,0.6435452793834296
seed,5,KMeans++ K*,20,0.5498360655737705
seed,5,KMeans++ K*,21,0.2245183343691734
seed,5,KMeans++ K*,22,0.5722827998593035
seed,5,KMeans++ K*,23,0.8588235294117647
seed,5,KMeans++ K*,24,0.7469458987783595
seed,5,KMeans++ K*,25,0.9790909090909091
seed,5,KMeans++ K*,26,0.9435840707964602
seed,5,KMeans++ K*,27,0.9496062992125984
seed,5,KMeans++ K*,28,0.1264559068219634
seed,5,KMeans++ K*,29,0.9964912280701754
seed,5,KMeans++ K*,30,1.0
seed,5,RPW K* (no refinement),0,0.9739247952937435
seed,5,RPW K* (no refinement),1,0.9642737710400179
seed,5,RPW K* (no refinement),2,0.9172030625381123
seed,5,RPW K* (no refinement),3,0.9043081199126464
seed,5,RPW K* (no refinement),4,0.9215148188803512
seed,5,RPW K* (no refinement),5,0.940049313138429
seed,5,RPW K* (no refinement),6,0.9529797219516515
seed,5,RPW K* (no refinement),7,0.952212389380531
seed,5,RPW K* (no refinement),8,0.9842152067585593
seed,5,RPW K* (no refinement),9,0.9631222309095647
seed,5,RPW K* (no refinement),10,0.6742556917688266
seed,5,RPW K* (no refinement),11,0.9579887528944757
seed,5,RPW K* (no refinement),12,0.8152651131374535
