target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,ap_lift_gt1
L2:mixed,ZSH,6935,0.01326996454273581,0.10452946369637744,7.878334234037894,10.454252349296274,9.420902302836701,8.418862906481067,0.12501157853914746,5.5,0.04473926189860905,7.2641310906360825,8.26662052282725,9.11525139073836,13.47689532881147,8.88999342329309,10.305235229745461,8.124753831648771,9.252776142774009,,,,,,,,,,,,,,,,,,True
L2:mixed,K-means++ (K*),6935,0.013269964542735806,0.13297658832190315,10.021051951068408,25.73983633108941,10.462892180501738,7.623328438604972,0.13886333771615358,6.0,0.03324707846259125,9.258553848913285,10.757357855113113,23.925621672455545,27.738789676599072,9.832348231479001,14.287904586687263,7.227836550253595,8.63977769240229,2.1427177170305143,1.5542844442530088,2.9669442356529205,0.001998001998001998,15.285583981793136,11.740149641864035,17.44413009205247,0.001998001998001998,1.0419898776650367,0.12807627071281763,4.821746978644521,0.017982017982017984,-0.7955344678760952,-1.5587810623966607,0.12714666435025018,0.11788211788211789,0.017982017982017984,True
L2:mixed,rank-power K-means (K*),6935,0.01326996454273581,0.10335933714854124,7.789803368786096,11.050760545630688,9.367132543920224,8.437262801509245,0.12429816593224602,6.0,0.044823871347797584,7.2066203219115215,8.183994502925119,9.012198114671321,13.556230324738792,8.856682942368373,10.389304923027268,8.144591869339498,9.51541656999591,-0.08853086525179776,-0.29364131698532336,0.1700099156744332,0.5654345654345654,0.5965081963344137,-2.1213727431887315,2.264558797251712,0.957042957042957,-0.05376975891647717,-0.32740863050971186,0.6353740399936922,0.7532467532467533,0.018399895028178292,-0.08428835439048972,0.5431774464033263,0.5774225774225774,1.0,True
L2:mixed,uniform + refinement,6935,0.013269964542735801,0.1146501233467736,8.6400521556094,16.93529838095806,12.257887396840363,7.595595176899599,0.16265443607041918,5.0,0.020885602909285046,7.934199112479762,9.166150099902374,14.797180293654135,18.30985745187677,9.452066494082098,12.825056546174123,3.8238531412782857,7.957612096732288,0.7617179215715062,0.19997961228996478,1.3874408350764844,0.007992007992007992,6.481046031661785,2.5163944198041155,8.386418644271433,0.001998001998001998,2.836985094003662,-0.19164366099879662,3.396149531022947,0.08391608391608392,-0.8232677295814677,-4.588153684011306,-0.5151567060908491,0.001998001998001998,0.023976023976023976,True
L3:runes,ZSH,137087,0.3919723086617889,0.5301598217205679,1.3525617195697026,1.3946868770991523,1.3946868770991523,1.3946868770991523,0.5466697324159708,1.0,0.4496742942291835,1.337920945860825,1.3658569039333104,1.3773570592843938,1.4107507178503729,1.3773570592843938,1.4107507178503729,1.3773570592843938,1.4107507178503729,,,,,,,,,,,,,,,,,,True
L3:runes,K-means++ (K*),137087,0.3919723086617891,0.5103848321951266,1.3020928310413873,1.326699885598729,1.326699885598729,1.326699885598729,0.5200268885702154,1.5,0.5513370242080751,1.289760267107218,1.3141982115948059,1.3135285688409049,1.34003185070287,1.3135285688409049,1.34003185070287,1.3135285688409049,1.34003185070287,-0.050468888528315325,-0.06000732065849224,-0.04009763850216773,0.001998001998001998,-0.0679869915004232,-0.07834985419432254,-0.05687595530048738,0.001998001998001998,-0.0679869915004232,-0.07834985419432254,-0.05687595530048738,0.001998001998001998,-0.0679869915004232,-0.07834985419432254,-0.05687595530048738,0.001998001998001998,0.017982017982017984,True
L3:runes,rank-power K-means (K*),137087,0.39197230866178906,0.5244204306284457,1.337920063165428,1.3761871079363184,1.3761871079363184,1.3761871079363184,0.5394183454435273,1.0,0.45882872756635373,1.3231038070951386,1.3507221234315483,1.3593700573060732,1.391869533901608,1.3593700573060732,1.391869533901608,1.3593700573060732,1.391869533901608,-0.014641656404274617,-0.01774222046990358,-0.01216912710108104,0.001998001998001998,-0.018499769162833912,-0.021867366636931156,-0.015804534530363762,0.001998001998001998,-0.018499769162833912,-0.021867366636931156,-0.015804534530363762,0.001998001998001998,-0.018499769162833912,-0.021867366636931156,-0.015804534530363762,0.001998001998001998,0.017982017982017984,True
L3:runes,uniform + refinement,137087,0.3919723086617891,0.5337026463658925,1.361567779413473,1.3861915184344,1.3861915184344,1.3861915184344,0.5433463627979309,2.0,0.5907478896175768,1.3442783172912316,1.3730648888616293,1.3715785459225558,1.3976708618970193,1.3715785459225558,1.3976708618970193,1.3715785459225558,1.3976708618970193,0.009006059843770453,-0.008555828206534244,0.021739502288279883,0.37162837162837165,-0.008495358664752262,-0.022967835332161818,0.0037055707293942946,0.15984015984015984,-0.008495358664752262,-0.022967835332161818,0.0037055707293942946,0.15984015984015984,-0.008495358664752262,-0.022967835332161818,0.0037055707293942946,0.15984015984015984,0.37162837162837165,True
L3:other_opreturn,ZSH,9245,0.01761385483912993,0.05882290977767547,3.340957152017552,8.697564059309014,2.6880884385499133,2.6880884385499133,0.04733856787040866,4.0,0.22346543912413075,2.968041998364408,3.79242083968899,7.1922437738492775,9.943011911576173,2.5489962123344867,5.219689018145769,2.525334389828646,2.8618827142752425,,,,,,,,,,,,,,,,,,True
L3:other_opreturn,K-means++ (K*),9245,0.017613854839129924,0.046958599430746095,2.66609472349674,5.653369207975862,2.80095495621867,2.80095495621867,0.04933272926004402,4.5,0.21722325900382633,2.3970174687000734,2.9948123245048364,4.708730430323546,6.401987429801732,2.637282004193337,3.005354849468062,2.637282004193337,3.005354849468062,-0.6748624285208118,-1.0747803811024452,-0.3019069296395175,0.001998001998001998,-3.0441948513331525,-4.631822260461957,-1.286320893330645,0.001998001998001998,0.11286651766875666,-2.259496099501194,0.24321389660966813,0.997002997002997,0.11286651766875666,0.012342573950185102,0.27102002708559353,0.027972027972027972,0.017982017982017984,True
L3:other_opreturn,rank-power K-means (K*),9245,0.01761385483912993,0.058294465421056416,3.310903442562127,8.521458738833072,2.6850398389479517,2.6850398389479517,0.047284800635606986,4.0,0.22369146080240315,2.9428124946112546,3.7533238028593203,7.043918758171424,9.755343039673582,2.5453514877709336,5.191162481185931,2.521954756825139,2.8580495177379115,-0.030053709455424737,-0.05290218673278557,-0.01850574531620939,0.005994005994005994,-0.1761053204759424,-0.24502937585823525,-0.0974382514641716,0.001998001998001998,-0.003048599601961577,-0.02992841452757032,-0.002222048678250889,0.03196803196803197,-0.003048599601961577,-0.004115141845549374,-0.001854367916326916,0.03796203796203796,0.03596403596403597,True
L3:other_opreturn,uniform + refinement,9245,0.017613854839129927,0.045776200876247064,2.599371873250158,4.795968876386454,2.9061567907282475,2.9061567907282475,0.05118333239924675,5.0,0.20851767580084662,2.3294655885215163,2.8890714076769,3.8079081258202674,5.378489822241748,2.7299580421505323,3.106715490381117,2.7326766222384595,3.106715490381117,-0.7415852787673938,-1.1872775562271063,-0.3804689490603389,0.001998001998001998,-3.90159518292256,-5.709205857741221,-2.24707453565669,0.001998001998001998,0.2180683521783342,-2.1463560394547367,0.3481560988747796,0.983016983016983,0.2180683521783342,0.1035581315264019,0.36696840619780985,0.003996003996003996,0.017982017982017984,True
L4:exchange,ZSH,1936,0.0033220608372278426,0.0983353441463997,29.60115528846692,44.389716024863034,44.389716024863034,34.1497751499758,0.1474623990719533,1.0,0.006899329699038314,25.287271369188677,33.40627669154595,36.54962883800531,50.305929008109814,36.78272579769681,50.305929008109814,25.086664332932507,38.79518568634592,,,,,,,,,,,,,,,,,,True
L4:exchange,K-means++ (K*),1936,0.003322060837227843,0.10561097818735365,31.791277592666436,47.90701538725479,47.90701538725479,36.68398883775201,0.15914739403335282,1.0,0.00746204092547206,27.323544744394585,36.33209687438956,41.07301505809929,53.7133442390474,41.25730234342702,53.7133442390474,27.49868353385414,43.06341717106805,2.190122304199516,0.1864840262510442,4.639017679038651,0.04795204795204795,3.5172993623917534,-0.2305434188131923,7.787009943838814,0.06393606393606394,3.5172993623917534,0.3745708612681988,7.944263818686403,0.04995004995004995,2.5342136877762087,-1.3001717521524012,10.508450514960305,0.13986013986013987,0.04795204795204795,True
L4:exchange,rank-power K-means (K*),1936,0.003322060837227843,0.09649900574864288,29.04835515770849,44.703215237766884,44.703215237766884,29.041878608951713,0.14850382143011553,1.0,0.006847919784064863,24.64603310008998,33.26811226452421,36.76730008626828,50.60605800051845,35.575657571169465,50.60605800051845,24.187239116218183,37.544776528000725,-0.5528001307584312,-1.8270412065917065,0.5661344633606864,0.33166833166833165,0.3134992129038494,-1.9512299849964994,2.0179286841587594,0.27172827172827174,0.3134992129038494,-3.0117151254840873,1.879952233037646,0.5334665334665335,-5.10789654102409,-8.851250950815793,2.6251061969878062,0.3196803196803197,1.0,True
L4:exchange,uniform + refinement,1936,0.0033220608372278426,0.07605015529486296,22.892743312344564,31.704499143998532,30.189183506348748,27.50311960909631,0.100289992885982,2.0,0.009044002965003923,20.359616729083115,26.242819847640256,23.864025238076763,44.67499583291521,27.92931381996339,36.388426142780574,20.111254584426582,35.76467538859581,-6.708411976122356,-9.137422045118598,-2.359464577857319,0.005994005994005994,-12.685216880864502,-21.729310044619393,3.6500895161626583,0.13186813186813187,-14.200532518514287,-18.026287469742535,-4.929505049374188,0.003996003996003996,-6.646655540879493,-11.67019949622362,2.251635244458596,0.21978021978021978,0.023976023976023976,True
