period,method,profile,matched_to,jaccard,share
test,GMM (diag),26,12,0.08103844889911271,0.007628853215091332
test,GMM (diag),27,3,0.0,0.0009142861564771931
test,GMM (diag),28,18,0.2352136392338455,0.012689347773096075
test,GMM (diag),29,20,0.3138788738627341,0.012410767141414493
test,GMM (diag),30,24,0.202367758186398,0.010807380839069385
test,BIRCH,0,3,0.2160734463276836,0.005319729312486216
test,BIRCH,1,13,0.38905497018704566,0.011354095328744492
test,BIRCH,2,4,0.2572590011614402,0.0010969112372462304
test,BIRCH,3,22,0.6236494442423757,0.45711483325788443
test,BIRCH,4,23,0.08389932081502198,0.0026000858956947686
test,BIRCH,5,21,0.006764086529257865,0.004836082382483469
test,BIRCH,6,29,0.0015248090554426067,0.00879231426990594
test,BIRCH,7,25,0.579619756563726,0.0027861932343598256
test,BIRCH,8,27,0.003299383158800746,0.002387668164037562
test,BIRCH,9,12,0.419029057406095,0.0030098315747930956
test,BIRCH,10,2,0.034678103860696,0.03602821402730864
test,BIRCH,11,14,0.03693179524851264,0.014159247522760425
test,BIRCH,12,19,5.141123849673539e-05,0.007515486374698688
test,BIRCH,13,8,0.024488079448775596,0.010513710423171717
test,BIRCH,14,24,0.06129032258064516,0.00016018386321690984
test,BIRCH,15,9,0.0,0.002458474074589964
test,BIRCH,16,5,0.25288239964369397,0.09933991866993225
test,BIRCH,17,30,0.0006788866259334691,0.00041554944225836033
test,BIRCH,18,1,0.14727873009981984,0.010500942144219646
test,BIRCH,19,11,0.39663979567403623,0.01840682832081655
test,BIRCH,20,15,0.30444254996684667,0.0017032110286976743
test,BIRCH,21,10,0.5177514792899408,0.00011065841758462853
test,BIRCH,22,7,0.0,0.00011878368600867469
test,BIRCH,23,18,0.0,0.001413022870696026
test,BIRCH,24,6,0.6077093323496865,0.0013259664232955315
test,BIRCH,25,28,0.0,0.0004232877931384043
test,BIRCH,26,17,0.0006127450980392157,0.00025962167202547463
test,BIRCH,27,0,0.10188344659132528,0.29002797413843134
test,BIRCH,28,20,0.0,0.0008732728968129602
test,BIRCH,29,26,0.0,0.004091653027823241
test,BIRCH,30,16,0.044535799931483384,0.0008562485248768635
test,Ward (sample + NC),0,9,9.388286101313018e-05,0.014454078691290098
test,Ward (sample + NC),1,16,0.07513299224070749,0.025061810077654352
test,Ward (sample + NC),2,13,0.7887737320003668,0.003338711487194964
test,Ward (sample + NC),3,2,0.6671717234786204,0.2354555760621854
test,Ward (sample + NC),4,26,0.021320768607818598,0.05759809327034316
test,Ward (sample + NC),5,7,0.40736144394994106,0.04114984155726573
test,Ward (sample + NC),6,23,0.0,0.04725037047354838
test,Ward (sample + NC),7,3,0.2868442530432216,0.01703830096768078
test,Ward (sample + NC),8,25,0.15907840860477906,0.0045772345455459985
test,Ward (sample + NC),9,12,0.028041948282393286,0.022787895671553437
test,Ward (sample + NC),10,19,0.7399940262843488,0.0019674757112511754
test,Ward (sample + NC),11,1,0.451734525469083,0.1782594901200605
test,Ward (sample + NC),12,21,0.07371514666765872,0.006494024058532886
test,Ward (sample + NC),13,20,0.3199566730815745,0.03415127702135398
test,Ward (sample + NC),14,30,0.024981407612737476,0.01144192561123299
test,Ward (sample + NC),15,29,0.14212599632799183,0.03464537072504478
test,Ward (sample + NC),16,11,0.38910459136216613,0.025319497161959813
test,Ward (sample + NC),17,5,0.0,0.0168839208676239
test,Ward (sample + NC),18,18,0.000447374617376972,0.0028426831957841466
test,Ward (sample + NC),19,27,0.1138771186440678,0.0007099936932440327
