target,method,positives,base_rate,ap,ap_lift,enrich@0.10,enrich@0.25,enrich@0.50,prec@0.25,clusters@0.25,share@0.25,ap_lift_lo,ap_lift_hi,enrich@0.10_lo,enrich@0.10_hi,enrich@0.25_lo,enrich@0.25_hi,enrich@0.50_lo,enrich@0.50_hi,d_ap_lift,d_ap_lift_lo,d_ap_lift_hi,d_ap_lift_p,d_enrich@0.10,d_enrich@0.10_lo,d_enrich@0.10_hi,d_enrich@0.10_p,d_enrich@0.25,d_enrich@0.25_lo,d_enrich@0.25_hi,d_enrich@0.25_p,d_enrich@0.50,d_enrich@0.50_lo,d_enrich@0.50_hi,d_enrich@0.50_p,d_ap_lift_p_holm,attained,max_lift
L3:runes,single bound,1041406,0.40293337219818315,0.7761861267327266,1.9228056512857241,2.481521386424804,2.4816648878226673,1.5587012687960793,0.999892460176969,5.5,0.2055509429478734,1.9021400581511354,1.9429321862983842,2.4531282995824,2.510535542685603,2.4533004497075517,2.5107154301569454,1.5387526133209974,1.5789443348688836,-0.013678314420195736,-0.02713923818465019,-1.3047986796633208e-06,0.05194805194805195,0.4150470669280426,0.3992235868913465,0.4303607619950856,0.001998001998001998,0.44046111503188357,0.4269641514967576,0.4544109852098303,0.001998001998001998,-0.4001667247247691,-0.41656482601724004,-0.3828686702404709,0.001998001998001998,0.05194805194805195,0.7761861267327266,2.4817998929811877
L3:omni,profiles (ZSH),875,0.0003386093892359541,0.008840880050011397,26.227548035541403,31.99493146532566,31.99493146532566,31.99493146532566,0.010795386170962352,1.0,0.02046717152666757,22.89936670993268,29.20243106226153,28.942800788343245,34.74475628287796,28.942800788343245,34.74475628287796,28.942800788343245,34.74475628287796,,,,,,,,,,,,,,,,,,0.008840880050011397,2953.255378583632
L3:omni,shared bound,875,0.0003386093892359541,0.458420775079299,1342.310777801055,1508.690213384663,1508.690213384663,1508.690213384663,0.5151921916862763,1.0,0.0005771968928314034,1202.3206577084206,1500.4924753416155,1368.720605560553,1677.970817776209,1368.720605560553,1677.970817776209,1368.720605560553,1677.970817776209,1316.0832297655138,1174.7397227869046,1473.2767760110958,0.001998001998001998,1476.6952819193373,1337.9935990620643,1645.2688724595876,0.001998001998001998,1476.6952819193373,1337.9935990620643,1645.2688724595876,0.001998001998001998,1476.6952819193373,1337.9935990620643,1645.2688724595876,0.001998001998001998,0.001998001998001998,0.458420775079299,2953.255378583632
L3:omni,single bound,875,0.0003386093892359541,0.01568179502224311,43.637561007684496,47.202391854061844,47.202391854061844,47.202391854061844,0.01699541586197783,1.0,0.03224919486415053,38.0229409453136,47.569380748048815,43.87485897264004,49.66634851657696,43.87485897264004,49.66634851657696,43.87485897264004,49.66634851657696,17.410012972143093,11.976901730274037,22.570371268168813,0.001998001998001998,15.207460388736184,11.761411357145352,18.892268683503776,0.001998001998001998,15.207460388736184,11.761411357145352,18.892268683503776,0.001998001998001998,15.207460388736184,11.761411357145352,18.892268683503776,0.001998001998001998,0.001998001998001998,0.01568179502224311,2953.255378583632
L3:other_opreturn,profiles (ZSH),35010,0.013546251596113144,0.09795964977030996,7.230395765677095,12.828983011896817,9.956035458842761,6.384333245007694,0.13488566272447333,2.0,0.037253845303767116,6.7894915811110215,7.698921451027984,11.486864514485488,14.18875698012574,9.541404209159024,10.35954244165133,6.256385934704983,6.615925369724604,,,,,,,,,,,,,,,,,,0.09795964977030996,73.82115952186598
L3:other_opreturn,shared bound,35010,0.013546251596113144,0.9179812067294536,67.77991424535881,71.89542337029172,71.91140554391164,72.01638260291628,0.973979445981288,2.0,0.007258848105441449,65.64766523508067,70.14117617593013,69.54943588690777,74.72376060169528,69.56625554583704,74.47771217470093,69.57686445884141,74.53187926820902,60.549518479681716,58.25374963471259,63.02138613973245,0.001998001998001998,59.06644035839491,56.043779863943556,62.84299592933957,0.001998001998001998,61.95537008506888,59.53674092907421,64.57616873190098,0.001998001998001998,65.63204935790858,63.14785380430799,68.12434166479663,0.001998001998001998,0.001998001998001998,0.9179812067294536,73.82115952186598
L3:other_opreturn,single bound,35010,0.013546251596113144,0.418155019688565,30.871848288916993,30.922670870725604,30.922670870725604,30.922670870725604,0.4188411202817778,1.0,0.03226093883988004,30.30929261660924,31.480947215567998,30.364123611086924,31.526137675376678,30.364123611086924,31.526137675376678,30.364123611086924,31.526137675376678,23.6414525232399,22.854056554098804,24.43199819119784,0.001998001998001998,18.093687858828787,16.50122840064518,19.71877595465143,0.001998001998001998,20.96663541188284,20.273721419074384,21.71976971568659,0.001998001998001998,24.538337625717908,23.778893613694002,25.14366239374122,0.001998001998001998,0.001998001998001998,0.418155019688565,73.82115952186598
L4:exchange,profiles (ZSH),8649,0.0033463880164738813,0.06972281111299983,20.8450395797365,45.229753360579465,29.170333417903443,19.3783420670009,0.09757063217810279,2.0,0.00929715133931128,20.04787301221125,21.7290208701769,43.07238312496343,47.51608856102944,24.674669364963435,30.28173471766703,18.650153138566306,19.833220470260315,,,,,,,,,,,,,,,,,,0.06972281111299983,298.82966203474183
L4:exchange,shared bound,8649,0.0033463880164738813,0.5086920685491434,151.95721678937946,252.2261939619354,237.86703315896224,220.25721210552575,0.7961710519204126,2.0,0.0018803566368351243,147.79841270153815,156.53546747833963,244.3188981539094,260.64756168926965,232.4576402244361,244.24588364146805,215.49881119065037,228.73148594117458,131.11217720964297,127.41864083071496,135.36374354935302,0.001998001998001998,206.9964406013559,199.61455540688584,214.9012323536205,0.001998001998001998,208.6966997410588,203.58415932765058,215.78532123133016,0.001998001998001998,200.87887003852484,196.46840090243893,209.26867038790547,0.001998001998001998,0.001998001998001998,0.5086920685491434,298.82966203474183
L4:exchange,single bound,8649,0.0033463880164738813,0.08095000548969862,24.211709016154522,26.720991296200875,26.720991296200875,26.720991296200875,0.08932025228279838,1.0,0.03227665034620988,23.806797058215402,24.67917038547389,26.359645497432286,27.11554924404855,26.359645497432286,27.11554924404855,26.359645497432286,27.11554924404855,3.3666694364180216,2.534480092483298,4.185244733417685,0.001998001998001998,-18.50876206437859,-20.69997238532744,-16.405181599213662,0.001998001998001998,-2.4493421217025677,-3.5866185586160757,2.069061122074631,0.11188811188811189,7.342649229199974,6.859642275632574,8.046722059638112,0.001998001998001998,0.001998001998001998,0.08095000548969862,298.82966203474183
